CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
1,1,2013,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,1,-0.44244937409630164,3,0,0,0,,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,99.813,10,0,5,0,93.0,-0.44244937409630164,0,3,0,0,1,4.666666666666667,2008.3333333333333,0
2,0,2014,2,1,0.036,0.0,0.0,0,0,1,1,1,0,0,0,-0.44244937409630164,2,0,0,0,1.51416512,1,0,0,0,0,0,0,1,0,0,Germany,Information Technology,89.784,0,0,4,0,4033.5,-0.44244937409630164,0,2,0,0,2,3.5,2009.0,1
3,0,2014,1,2,0.0,0.5,0.0,1,1,0,0,0,0,0,0,-0.26266285826148367,2,0,0,0,,1,0,0,0,0,0,0,0,0,0,Greece,Information Technology,85.587,0,0,4,0,,-0.44244937409630164,0,2,0,0,0,4.5,1998.0,1
4,1,2013,9,9,29.656393790000003,0.05555555555555555,0.0,1,1,1,1,1,0,0,0,0.7206080317354449,3,0,0,0,6.507721261944444,0,0,1,1,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),97.009,10,0,,0,798.3333333333334,1.6308305116027997,1,6,1,1,18,3.366666666666666,2000.5,1
6,0,2010,12,11,5.2173886199999995,0.25,0.0,1,0,1,0,0,0,1,1,0.8113217367750761,2,0,0,1,1.2212136886363636,1,0,1,1,0,0,1,0,1,1,United Kingdom,Materials and Resources,90.574,0,0,5,0,457.1304347826087,0.12746039737069215,1,6,1,1,23,3.3388888888888886,2006.0,1
9,1,2014,8,7,98.49752406,0.2777777777777778,8.333333333333332,1,1,0,0,0,0,0,0,0.14211940425341701,6,0,0,0,9.995800991300001,1,0,1,0,0,0,1,1,0,0,Germany,Consumer Products and Services (B2C),98.297,10,1,4,0,787.8866666666667,-0.04728404172985682,1,12,0,0,15,3.787490287490288,2006.225140291807,1
11,1,2014,6,4,0.0,0.42857142857142855,0.0,1,1,0,0,0,0,0,0,-0.21726950821927238,3,0,0,0,5.875363791,1,0,1,0,0,0,1,0,0,0,Germany,Business Products and Services (B2B),97.50399999999999,8,0,4,0,69.1,-0.44244937409630164,1,3,0,1,10,4.0,2010.0,0
12,0,2013,2,1,0.0,0.5,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,1,0,0,0,2.12562967,0,0,1,0,0,0,0,0,0,0,United Kingdom,Business Products and Services (B2B),91.047,0,0,,0,770.0,-0.44244937409630164,0,1,0,0,1,,,0
13,1,2013,10,6,15.19598274,0.3,0.0,0,0,0,0,0,0,0,0,0.2562249342607454,1,0,0,0,3.387313916,1,0,1,0,0,0,1,1,0,0,United Kingdom,Healthcare,94.104,0,0,,0,207.6,-0.08287634242666571,1,6,0,0,5,,,0
14,0,2013,2,1,0.0690479,0.0,0.0,1,0,0,0,0,0,0,1,-0.3225916968730897,3,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,Bulgaria,Consumer Products and Services (B2C),89.306,0,0,2,0,280.0,-0.44244937409630164,0,3,0,0,2,2.3333333333333335,2002.5,0
15,0,2012,5,3,0.7143996,0.25,60.0,0,1,0,1,0,0,0,1,-0.38317457424133494,4,0,0,0,1.553125934,1,0,1,0,0,0,1,0,0,0,Ireland,Consumer Products and Services (B2C),85.728,0,0,4,1,817.4,-0.44244937409630164,1,5,0,0,5,3.6374999999999997,2005.6625000000001,1
16,1,2014,10,7,2.32348503,0.09090909090909091,0.0,1,0,0,0,0,0,0,1,0.5693330502156363,1,0,0,0,3.8681219381944447,1,0,1,0,0,0,1,0,0,0,United Kingdom,Information Technology,99.67,10,1,3,0,271.1111111111111,0.31228898993977916,1,6,1,1,9,3.4372294372294374,1995.8441558441561,1
17,1,2013,4,6,2.51270068,0.125,22.22222222222222,1,0,1,1,1,0,0,0,0.5747270453157697,2,0,0,1,1.2596878498412698,1,0,1,1,0,0,1,1,0,0,United Kingdom,Information Technology,90.672,1,0,3,1,2091.214285714286,0.6718620216094151,1,9,1,0,18,3.7023809523809526,1997.2749999999999,1
18,0,2014,0,1,0.05,0.0,0.0,0,0,0,0,0,0,0,0,-0.31072759664082,3,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,Bulgaria,Healthcare,80.38,0,0,3,0,280.0,-0.04728404172985682,0,3,0,0,1,3.0,2008.5,0
19,1,2012,11,13,6.5613117999999995,0.19444444444444445,66.66666666666666,1,0,0,0,0,0,0,0,-0.3450353658985939,1,0,0,0,2.1440526259375003,1,1,1,0,0,0,1,0,0,0,United Kingdom,Consumer Products and Services (B2C),87.764,2,1,4,1,276.53375,-0.44244937409630164,1,3,0,0,20,3.6388888888888893,2001.9166666666667,0
20,0,2013,6,1,0.0656232,0.0,0.0,1,0,0,0,0,0,0,0,-0.04728404172985683,1,0,0,0,0.2,1,0,1,0,0,0,1,0,0,0,Bulgaria,Consumer Products and Services (B2C),89.697,0,0,3,0,280.0,-0.04728404172985682,0,1,0,0,1,3.0,2002.0,0
21,0,2011,6,3,0.22274871000000002,0.1,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,1,0,0,0,0.81663981,1,0,1,0,0,0,1,1,0,0,United Kingdom,Information Technology,96.183,0,0,,0,561.0,-0.44244937409630164,1,1,1,0,3,,,0
22,1,2011,13,9,19.60724931,0.2916666666666667,22.22222222222222,1,1,0,0,1,0,1,0,0.8132594013579202,2,0,0,0,9.634729369166667,1,1,1,0,1,0,1,0,0,0,United Kingdom,Information Technology,97.495,10,0,4,0,160.03174603174602,-0.04728404172985682,1,9,0,1,21,3.8833333333333333,2000.236111111111,1
23,1,2014,9,2,0.13296994,0.1,25.0,0,0,0,1,0,0,0,0,-0.4424493740963017,4,0,0,0,0.865,1,0,1,0,0,0,0,0,0,0,Serbia,Consumer Products and Services (B2C),85.626,0,0,,0,148.5,-0.44244937409630164,0,4,0,0,2,3.0,2001.0,0
24,1,2013,10,3,0.0,0.2727272727272727,50.0,0,0,0,0,0,0,0,0,-0.2626628582614837,2,0,0,0,3.363368123235294,1,0,1,0,0,0,1,0,0,0,United Kingdom,Business Products and Services (B2B),91.66499999999999,1,0,,1,64.29411764705883,-0.08287634242666571,1,2,0,0,17,,,0
25,0,2013,10,1,0.12864025,0.0,33.33333333333333,0,0,0,0,0,0,0,1,-0.4424493740963017,6,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,Bulgaria,Information Technology,92.083,0,0,3,0,280.0,-0.44244937409630164,0,6,0,0,1,3.333333333333333,2013.0,0
26,1,2014,11,17,95.75907658,0.3055555555555556,16.666666666666664,1,1,0,0,0,0,0,0,-0.03549568242623174,2,0,0,1,3.9990663869230767,1,0,1,1,0,0,1,0,0,0,United Kingdom,Business Products and Services (B2B),94.80499999999999,5,0,3,0,815.9464285714286,0.2475951379907733,1,6,1,0,14,3.0277777777777772,2008.5,0
27,0,2013,4,2,0.40851839,0.0,0.0,0,0,0,0,0,0,0,1,-0.44244937409630164,1,0,0,0,0.660994536,0,0,1,0,0,0,0,0,0,0,Slovenia,Business Products and Services (B2B),92.952,0,0,5,0,150.5,-0.44244937409630164,1,1,0,0,6,3.333333333333333,2009.0,0
