CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
1,1,2013,0,1,0.0,0.0,0,0,0,0,0,0,0,1,-0.403355023220701,3,0,0,0,,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,93.0,-0.403355023220701,0,3,0,0,1,4.66666666666667,2008.33333333333,0,3073,12898
2,0,2014,2,1,0.036,0.0,0,0,1,1,1,0,0,0,-0.403355023220701,2,0,0,0,1.51416512,1,0,0,0,0,0,0,1,0,0,86.97,0,0,0,4033.5,-0.403355023220701,0,2,0,0,2,3.5,2009.0,1,3073,12898
3,0,2014,1,2,0.0,0.0,1,1,0,0,0,0,0,0,-0.21604541620005,2,0,0,0,,1,0,0,0,0,0,0,0,0,0,87.0,0,0,0,,-0.403355023220701,0,2,0,0,0,4.5,1998.0,1,7928,12898
4,1,2013,9,9,30.0379700518646,0.0,1,1,1,1,1,0,0,0,0.5309867000944322,2,0,0,0,6.50772126194444,0,0,1,1,0,0,0,0,0,0,99.04666666666667,3,0,0,798.333333333333,1.70591367598266,1,7,1,1,18,3.0055555555555555,1992.361111111111,1,6296,7023
5,1,2012,12,2,0.331522606648733,0.0,1,0,0,1,0,0,0,0,-0.33067592205956664,0,0,0,0,0.295,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,555.0,-0.403355023220701,0,4,0,0,1,3.724358974358975,1994.0833333333333,1,6296,5062
6,0,2010,12,11,6.169345689630213,0.0,1,0,1,0,0,0,1,1,0.6313871718165177,2,0,0,1,1.22121368863636,1,0,1,1,0,0,1,0,1,1,90.585,0,0,0,457.130434782609,0.190402383084396,1,5,1,1,23,3.4416666666666664,2000.75,1,6296,542
9,1,2014,10,7,99.31437179622807,0.0,1,0,0,0,0,0,0,0,0.21406027447596693,3,0,0,0,9.9958009913,1,0,1,0,0,0,1,1,0,0,98.205,2,1,0,787.886666666667,-0.0399595174150297,1,6,0,0,15,3.686921411921411,2005.4573002754819,1,3073,7023
11,1,2014,6,4,7.86664047657,0.0,1,1,0,0,0,0,0,0,-0.19056733178814303,3,0,0,0,5.875363791,1,0,1,0,0,0,1,0,0,0,97.88666666666667,2,0,0,69.1,-0.403355023220701,1,7,0,1,10,4.0,2010.25,0,3073,5062
12,0,2013,2,1,1.29243829371806,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,2.12562967,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,770.0,-0.403355023220701,0,1,0,0,1,,,0,6296,5062
13,1,2013,11,6,15.19598274,11.1111111111111,0,1,1,0,0,1,0,0,0.16612818586377764,1,0,0,0,3.387313916,1,0,1,0,0,0,1,1,0,0,0.0,0,0,0,207.6,-0.0287358091793985,1,9,0,0,5,3.0,1980.3181818181818,1,6296,3504
14,0,2013,2,1,0.0690479,0.0,1,0,0,0,0,0,0,1,-0.2784819518736,3,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,88.435,0,0,0,280.0,-0.403355023220701,0,3,0,0,2,2.33333333333333,2002.5,0,7928,7023
15,0,2012,5,3,0.7143996,60.0,0,1,0,1,0,0,0,1,-0.3488456973498505,4,0,0,0,1.553125934,1,0,1,0,0,0,1,0,0,0,87.45,0,0,1,817.4,-0.403355023220701,1,5,0,0,5,3.6374999999999997,2005.6625000000001,1,7928,7023
16,1,2014,10,7,2.43598503,0.0,1,0,0,0,0,0,0,1,0.48068283785918775,0,0,0,0,3.86812193819444,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,271.111111111111,0.334659696626273,1,3,1,1,9,3.5735930735930737,1995.798701298701,1,6296,12898
17,1,2013,4,6,2.62520068,33.3333333333333,1,0,1,1,1,0,0,0,0.3551556158867205,2,0,0,1,1.25968784984127,1,0,1,1,0,0,1,1,0,0,92.19,1,0,1,2091.21428571429,0.709278910667575,1,12,1,0,18,3.70238095238095,1997.2749999999976,1,6296,12898
18,0,2014,10,1,0.05,0.0,0,0,0,0,0,0,0,0,-0.21615127780565827,1,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,81.18,0,0,0,280.0,-0.0399595174150297,0,1,0,0,1,3.0,2008.6363636363637,0,7928,3504
19,1,2012,12,13,6.5613117999999995,66.6666666666667,1,0,0,0,0,0,0,0,-0.2580588722997272,1,0,0,0,2.1440526259375,1,1,1,0,0,0,1,0,0,0,83.58333333333333,1,0,1,276.53375,-0.403355023220701,1,3,0,0,20,3.666666666666666,2002.1538461538462,0,6296,7023
20,0,2013,6,1,0.0656232,0.0,1,0,0,0,0,0,0,0,-0.0399595174150297,1,0,0,0,0.2,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,280.0,-0.0399595174150297,0,1,0,0,1,3.0,2002.0,0,7928,7023
21,0,2011,6,3,0.22274871000000002,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.81663981,1,0,1,0,0,0,1,1,0,0,0.0,0,0,0,561.0,-0.403355023220701,1,1,1,0,3,,,0,6296,12898
22,1,2011,13,9,20.3704534875,14.2857142857143,1,1,0,0,0,0,0,0,0.7150158696951153,1,0,0,0,9.63472936916667,1,1,1,0,1,0,1,0,0,0,99.15,1,0,0,160.031746031746,-0.0399595174150297,1,7,0,1,21,3.7513888888888896,1999.6499999999999,1,6296,12898
23,1,2014,10,2,0.13296994,20.0,0,0,0,1,0,0,0,0,-0.40335502322070094,4,0,0,0,0.865,1,0,1,0,0,0,0,0,0,0,87.19666666666667,0,0,0,148.5,-0.403355023220701,0,5,0,0,2,3.0,2001.0,0,7928,7023
24,1,2013,7,2,3.36700650442162,50.0,0,0,0,0,0,0,0,0,-0.21604541620005,2,0,0,0,3.5148286309375,1,0,1,0,0,0,1,0,0,0,92.0325,1,0,0,63.75,-0.403355023220701,1,2,0,0,16,,,0,6296,5062
25,0,2013,10,1,0.12864025,33.3333333333333,0,0,0,0,0,0,0,1,-0.40335502322070094,6,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,92.19749999999999,0,0,0,280.0,-0.403355023220701,0,6,0,0,1,3.3333333333333295,2013.0,0,7928,12898
