CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
1,1,2013,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,1,-0.8174659085006871,3,0,0,0,,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,0.0,0,0,5,0,21.0,-0.2485719199943922,0,3,0,0,1,4.666666666666667,2008.3333333333333,0
2,0,2014,0,1,0.036,0.0,0.0,0,0,1,1,1,0,0,0,-0.25630403613091646,2,0,0,0,0.0407729725,1,0,0,0,0,0,0,1,0,0,Germany,Information Technology,0.0,0,0,4,0,59.0,-0.25630403613091646,0,2,0,0,2,3.5,2009.0,1
3,0,2014,0,2,0.0,1.0,0.0,1,1,0,0,0,0,0,0,-0.25630403613091646,2,0,0,0,,1,0,0,0,0,0,0,0,0,0,Greece,Information Technology,87.7,0,0,4,0,,-0.25630403613091646,0,2,0,0,0,4.5,1998.0,1
4,1,2013,1,1,0.4726995,0.0,0.0,1,0,1,0,1,0,0,0,0.8221314466961944,3,0,0,0,0.4726995,0,0,0,0,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),98.18666666666667,3,0,,0,1.0,1.4761385187652472,1,4,0,0,1,3.0,2000.5,1
6,1,2010,1,2,0.0,1.0,0.0,0,0,0,0,0,0,1,1,0.8199677291132978,2,0,0,0,,0,0,0,1,0,0,0,0,0,1,United Kingdom,Materials and Resources,0.0,0,0,2,0,3.0,0.3401052733588006,0,2,1,0,2,2.5,2006.0,1
9,1,2014,0,2,17.0,0.5,9.090909090909092,1,1,0,0,1,0,0,0,0.3701842662508117,8,0,0,0,8.86194901,1,0,1,0,0,0,0,1,0,0,Germany,Consumer Products and Services (B2C),97.83333333333333,3,1,4,0,43.8,0.9045633733091621,1,11,0,0,7,3.727272727272727,2005.888888888889,1
11,1,2014,0,2,0.0,1.0,0.0,1,1,0,0,0,0,0,0,-0.25630403613091646,3,0,0,0,4.11447171,1,0,1,0,0,0,1,0,0,0,Germany,Business Products and Services (B2B),98.65,2,0,4,0,30.0,-0.25630403613091646,1,3,0,0,5,4.0,2010.0,0
12,0,2013,1,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,-0.25630403613091646,1,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,United Kingdom,Business Products and Services (B2B),0.0,0,0,,0,139.0,-0.25630403613091646,0,1,0,0,1,,,0
13,1,2013,1,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.29807395861702796,1,0,0,0,0.1,1,0,1,0,0,0,1,0,0,0,United Kingdom,Healthcare,93.82,0,0,,0,139.0,0.29807395861702796,0,1,0,0,1,,,0
14,0,2013,1,1,0.0690479,0.0,0.0,1,0,0,0,0,0,0,1,-0.07151137121493499,3,0,0,0,0.09975329499999999,1,0,1,0,0,0,0,0,0,0,Bulgaria,Consumer Products and Services (B2C),90.35,0,0,2,0,114.0,-0.25630403613091646,0,3,0,0,2,2.3333333333333335,2002.5,0
