CompanyID,Age,YearFounded,GrowthStageGroup,GrowthNextStageGroup,TimeNextStageGroup,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,Institute,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,N_Competitors_All,Same_Country_All,SimilarityScoreMean_All
1,0,2015,Early,Out,2,1,1.17606884161326,33.3333333333333,true,false,false,false,false,false,true,false,Stockholm University; Stockholm University; NA,-0.282223187952144,3,false,false,false,1.62,true,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services (B2C),0.0,0,0,4,Female,39.0,-0.403355023220701,false,3,false,false,1,3.5,2007.5,0,0,90.64666666666666
1,1,2015,Early,Out,1,1,0.0,33.3333333333333,true,false,true,false,false,false,true,false,Stockholm University; Stockholm University; NA,-0.282223187952144,3,false,false,false,1.62,true,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services (B2C),90.52,0,0,4,Female,39.0,-0.403355023220701,false,3,false,false,1,3.5,2007.5,0,0,90.64666666666666
2,0,2023,Early,Early,1,2,0.1,0.0,false,false,false,true,false,true,false,false,Aston University,-0.0399595174150297,1,false,false,false,0.085,true,false,false,false,false,false,false,true,false,false,United Kingdom,Information Technology,94.91499999999999,0,0,4,Male,505.5,-0.0399595174150297,false,1,false,false,1,4.0,2006.0,0,0,94.824
2,1,2023,Early,Early,0,2,0.0,0.0,false,false,false,true,false,true,false,false,Aston University; University of Cologne,-0.344962023497798,1,false,false,false,0.085,true,false,true,false,false,false,true,true,false,false,United Kingdom,Information Technology,95.0,0,0,4,Male,505.5,-0.0399595174150297,false,2,false,false,2,4.5,2006.0,0,0,94.824
3,0,2021,Early,Early,3,1,1.0,0.0,false,false,false,false,false,false,false,true,University of Hertfordshire; NA; University of Porto,-0.00189178656869916,4,false,false,false,0.26,true,false,false,false,false,false,false,false,false,false,France,Information Technology,99.5,1,0,3,Male,30.0,0.217873697180467,false,4,false,false,1,3.33333333333333,2007.66666666667,1,0,99.5
3,1,2021,Early,Early,2,1,0.0,0.0,false,false,false,true,false,false,false,true,University of Hertfordshire; NA; University of Porto,-0.00189178656869916,4,false,false,false,0.26,true,false,true,false,false,false,false,false,false,false,France,Information Technology,99.5,1,0,3,Male,30.0,0.217873697180467,false,4,false,false,2,3.33333333333333,2007.66666666667,1,0,99.5
3,2,2021,Early,Early,1,1,0.0,0.0,false,false,false,true,false,false,false,true,University of Hertfordshire; NA; University of Porto,-0.00189178656869916,4,false,false,false,0.26,true,false,true,false,false,false,false,false,false,false,France,Information Technology,99.5,1,0,3,Male,30.0,0.217873697180467,false,4,false,false,2,3.33333333333333,2007.66666666667,1,0,99.5
3,3,2021,Early,Early,0,1,0.0,0.0,false,false,false,false,false,false,false,true,University of Hertfordshire; NA; University of Porto,-0.00189178656869916,4,false,false,false,0.26,true,false,true,false,false,false,false,false,false,false,France,Information Technology,99.5,1,0,3,Male,30.0,0.217873697180467,false,4,false,false,2,3.33333333333333,2007.66666666667,1,0,99.5
4,0,2012,Early,Out,4,3,0.4747892,0.0,false,true,false,false,false,false,false,false,Columbia University; Ecole polytechnique; Institut Mines-Telecom; Stanford University; Université Paris Dauphine,0.844823630922977,1,false,false,false,,true,false,false,false,false,false,false,false,false,false,United Kingdom,Healthcare,90.81,0,0,3,Male,,-0.403355023220701,false,2,false,false,1,4.0,1985.0,0,0,90.81
4,1,2012,Early,Out,3,4,0.12134525,0.0,false,true,false,false,false,false,false,false,Columbia University; Ecole polytechnique; Institut Mines-Telecom; Stanford University; Université Paris Dauphine,0.844823630922977,1,false,false,false,,true,false,false,false,false,false,false,false,false,false,United Kingdom,Healthcare,90.81,0,0,3,Male,,-0.403355023220701,false,2,false,false,1,4.0,1985.0,0,0,90.81
