"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"laced-sweep-2","","finished","-","","","2026-04-08T10:44:16.000Z","6","91hwhh07","512","0.4","0.3","gini","15","2","15","256,128","0.04197882564823156","7","200","0.0026698028598913007","l1","","","","20","0.005489920499461898","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4380514147073415","1.8143780803827447","5","3","50","0.6","0.005819303020722249","0.8182190498186341","0.6434863235975893","0.6907017949310531","0.6286110469147215","0.7462046204620462","0.779128617009572","0.6835022903021477","0.5856540084388185","0.7139917695473251"
"still-sweep-11","","finished","-","","","2026-04-08T10:46:26.000Z","12","91hwhh07","256","0.6","0.3","gini","3","5","17","256,128","0.025936451152838824","10","300","0.014861738802756309","l2","","","","20","0.0011843253437982895","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24529692185270444","2.5197024360945153","5","3","200","1","0.000020363648746423533","0.8172171131827216","0.6432694527822673","0.7028562653562653","0.6273790415042422","0.745049504950495","0.7871052921113434","0.6826185917162289","0.5835777126099707","0.7165637860082305"
"denim-sweep-21","","finished","-","","","2026-04-08T10:48:35.000Z","12","91hwhh07","128","0.6","0.5","entropy","3","10","8","256,128,64","0.024916879515828504","7","300","0.001413089254086166","l2","","","","10","0.00012144807207403132","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1891128352359822","3.701522893662243","5","5","200","0.6","0.0008292343941739286","0.8168761772786716","0.6441930270145463","0.695719006994082","0.6262626262626263","0.7457095709570957","0.7822092639454286","0.6828078046892041","0.5844155844155844","0.7175925925925926"
"azure-sweep-13","","finished","-","","","2026-04-08T10:46:54.000Z","7","91hwhh07","512","0.6","0.3","entropy","7","5","15","256,128,64","0.024772795314626415","15","200","0.4270970355212112","l1","","","","10","0.0009446448397450962","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19405237273916945","4.782083257752451","5","7","300","0.8","0.0013197128044009742","0.8164345103120614","0.6451315182279649","0.6862970631086573","0.6287287746672786","0.7462046204620462","0.7749477390251953","0.6813213590282434","0.5849372384937238","0.7191358024691358"
"devout-sweep-1","","finished","-","","","2026-04-08T10:44:04.000Z","9","91hwhh07","512","0.6","0.2","gini","10","3","19","512,256,128","0.036416032615154845","10","200","0.04071929674652201","l1","","","","20","0.004828687327890385","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.011390803729013825","8.352461026692797","5","8","300","0.4","0.00009609266010976613","0.8162815390706546","0.6422145328719723","0.6975138121546961","0.6289134438305709","0.744059405940594","0.7831444603366707","0.6814808421706869","0.5821831869510665","0.7160493827160493"
"unique-sweep-51","","finished","-","","","2026-04-08T10:55:38.000Z","11","91hwhh07","128","0.6","0.3","gini","5","10","9","128,64","0.015596598774610743","10","300","0.04728075469808434","l2","","","","10","0.002740096682231299","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1374632352776957","3.46429293875223","5","6","300","1","0.00004239497544572029","0.8159327296468264","0.6401836969001148","0.6816054025017266","0.6285323609845032","0.7414191419141914","0.7717570689844867","0.6804912009762325","0.5781833264205724","0.7170781893004116"
"laced-sweep-49","","finished","-","","","2026-04-08T10:55:05.000Z","11","91hwhh07","256","0.8","0.1","gini","5","7","19","128,64","0.027451543857269625","7","300","4.301452584499114","l2","","","","5","0.0018380968295908784","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9822550559805132","6.278776714899671","3","5","50","0.8","0.000024862794777937548","0.8158436213991769","0.6388568794653146","0.6984613029166348","0.6337899543378995","0.7414191419141914","0.7833094949939488","0.68132047693967","0.5787056367432151","0.7129629629629629"
"earnest-sweep-37","","finished","-","","","2026-04-08T10:52:31.000Z","11","91hwhh07","512","0.6","0.1","gini","3","6","18","256,128","0.012162440068990516","10","300","0.02047707709263017","l2","","","","20","0.002599933987037961","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016134595782316546","3.410463372153978","7","9","200","1","0.000051811900904883025","0.8156879006746732","0.6410908250519991","0.6738577702442407","0.6286630036630036","0.7437293729372937","0.767136098580702","0.6794293305354373","0.5820394460763744","0.713477366255144"
"sparkling-sweep-67","","finished","-","","","2026-04-08T10:59:36.000Z","10","91hwhh07","256","0.6","0.1","gini","7","9","9","256,128","0.014083859566415042","15","300","0.01428015961603282","l2","","","","5","0.006719854616417077","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16918629495845083","5.083017782808347","7","10","100","1","0.000026646448534297657","0.8155845451055203","0.6422145328719723","0.6801289926289926","0.6295787545787546","0.744059405940594","0.7708218725932445","0.6801282772514323","0.5821831869510665","0.7160493827160493"
"electric-sweep-45","","finished","-","","","2026-04-08T10:54:08.000Z","7","91hwhh07","512","0.6","0.2","gini","3","9","6","128,64","0.011293984397139028","10","300","5.171392040608722","l2","","","","20","0.00043825796170847073","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6879865470272588","3.7482204833785486","7","4","300","0.8","0.0005772456416716173","0.8153084720072625","0.6424101969872538","0.669183940818371","0.6292906178489702","0.7453795379537954","0.7638354054351414","0.6793748972955227","0.5845634753268663","0.7129629629629629"
