"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"blooming-sweep-2","finished","-","","","2026-04-08T09:40:16.000Z","29","fh2yb7mv","256","0.6","0.1","entropy","7","6","7","256,128","0.20234437444584183","7","200","0.0033080590214989328","l2","","","","5","0.007200871525720775","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03433471784049201","3.025042159178256","15","9","300","0.8","0.0001394691996905903","0.8062835436937856","0.6212196331184928","0.6207010582010583","0.6098588060440921","0.7478547854785479","0.7476069974694686","0.670099898808307","0.5995215311004785","0.6445473251028807"
"different-sweep-31","finished","-","","","2026-04-08T09:56:15.000Z","36","fh2yb7mv","512","0.4","0.5","gini","10","10","17","256,128","0.19090884113805243","3","100","0.03330234092634953","l1","","","","10","0.009842310453830973","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013537502599106485","7.254211242237233","3","10","300","0.4","0.0009342145483376128","0.8062468006014869","0.6212871287128713","0.6192834736668318","0.6097077761267955","0.7475247524752475","0.7462867202112443","0.6691117160912728","0.5987595419847328","0.6455761316872428"
"dark-sweep-10","finished","-","","","2026-04-08T09:44:40.000Z","37","fh2yb7mv","512","0.8","0.4","entropy","3","5","11","128,64","0.1360136337487026","5","300","0.002163261939909232","l2","","","","5","0.005047677962959168","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01982956155655132","1.4154072553345045","5","10","300","0.4","0.000028098098221479897","0.8062405517762661","0.6197463317582691","0.6185258964143426","0.6088037801541905","0.7476897689768977","0.7471669050500606","0.6703139615461737","0.5999037072701011","0.6409465020576132"
"exalted-sweep-25","finished","-","","","2026-04-08T09:53:01.000Z","33","fh2yb7mv","256","0.4","0.5","entropy","3","2","16","256,128","0.1840428947618845","7","300","0.015679241868386123","l1","","","","5","0.0072201423512853885","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04933597195409744","4.222833431789917","5","6","300","0.8","0.0023486988153173603","0.8060710836362764","0.6208955223880597","0.6183326420572377","0.6108349900596421","0.7485148514851485","0.7468918472879305","0.6691535008851885","0.6011560693641619","0.6419753086419753"
"charmed-sweep-54","finished","-","","","2026-04-08T10:09:00.000Z","30","fh2yb7mv","128","0.6","0.3","entropy","15","2","13","512,256,128","0.28001573712982225","3","50","0.031558460946544","l2","","","","10","0.005458976569340713","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.355552834931423","1.0509566263694674","5","8","300","0.6","0.00013968968044760505","0.8059824752946445","0.62136878385032","0.6199557992960628","0.6113022113022113","0.7462046204620462","0.7445813620860381","0.6692851664676123","0.5958451369216242","0.6491769547325102"
"lively-sweep-39","finished","-","","","2026-04-08T10:00:35.000Z","32","fh2yb7mv","512","1","0.3","entropy","15","7","11","256,128","0.2131363342684232","5","50","0.4041859486736311","l1","","","","5","0.004225938987178871","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.032298185308681636","1.126142453840875","10","2","300","0.8","0.00785025594608576","0.8059466070378769","0.6201474201474202","0.6198773006134969","0.6113022113022113","0.7448844884488449","0.744361315876334","0.6691241644528501","0.5936030103480715","0.6491769547325102"
"royal-sweep-42","finished","-","","","2026-04-08T10:02:13.000Z","33","fh2yb7mv","256","1","0.3","entropy","7","4","7","512,256,128","0.2430208792327231","15","200","0.42883583523595326","l1","","","","5","0.007280637203369144","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010610805000281803","1.157201466017604","5","3","300","0.4","0.0025339848995970006","0.8059463570848682","0.6201474201474202","0.6198773006134969","0.6113022113022113","0.7448844884488449","0.744361315876334","0.6691285035039566","0.5936030103480715","0.6491769547325102"
"generous-sweep-38","finished","-","","","2026-04-08T10:00:03.000Z","28","fh2yb7mv","512","1","0.5","entropy","5","3","20","256,128,64","0.13106142098126183","5","50","0.598454083478952","l1","","","","10","0.006036181469527605","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06799762626430132","5.9279690799286024","3","9","300","0.8","0.00002018228662258585","0.8059309849748247","0.6198083067092651","0.6195109984463162","0.6113022113022113","0.7447194719471947","0.744031246561778","0.6691221746111569","0.5934117647058823","0.6486625514403292"
"misunderstood-sweep-13","finished","-","","","2026-04-08T09:46:38.000Z","31","fh2yb7mv","256","0.4","0.4","entropy","10","6","16","256,128","0.078436946132935","10","100","0.5906420001145042","l1","","","","5","0.00537765947132945","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03848147322287303","2.916104507965449","10","5","200","0.4","0.008258989467488324","0.8059299851627892","0.6198083067092651","0.6195109984463162","0.6113022113022113","0.7447194719471947","0.744031246561778","0.6691203454460415","0.5934117647058823","0.6486625514403292"
"scarlet-sweep-56","finished","-","","","2026-04-08T10:10:05.000Z","30","fh2yb7mv","512","1","0.5","entropy","7","4","17","512,256,128","0.19294501651850804","15","50","0.06789180926851997","l2","","","","20","0.0047585258759482935","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05780431900807481","7.781807815554354","5","9","300","0.6","0.002722913360113418","0.8059254860086303","0.6202313561407826","0.6201765860039241","0.6110019646365422","0.7453795379537954","0.7444163274287601","0.6691795528472544","0.5946201038225578","0.6481481481481481"
"lunar-sweep-3","finished","-","","","2026-04-08T09:40:48.000Z","31","fh2yb7mv","512","1","0.4","entropy","3","7","14","128,64","0.12235450355018468","7","200","0.08173852650036548","l2","","","","10","0.007628272485606818","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013788233003587317","4.573668386515574","7","9","200","0.8","0.00624354067800514","0.8059216117369934","0.6202313561407826","0.6201765860039241","0.6110019646365422","0.7453795379537954","0.7444163274287601","0.6691628649583607","0.5946201038225578","0.6481481481481481"
"classic-sweep-55","finished","-","","","2026-04-08T10:09:32.000Z","28","fh2yb7mv","512","0.4","0.4","entropy","7","2","13","256,128","0.05316053105397378","3","50","0.6681177757934428","l1","","","","5","0.005213412065559237","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.026970540390968335","2.846938479519268","10","10","200","0.6","0.0004701602575168449","0.805920611924958","0.6198083067092651","0.6195616617598954","0.6116433308769345","0.7447194719471947","0.744086258114204","0.6691063452302977","0.5934117647058823","0.6486625514403292"
"balmy-sweep-5","finished","-","","","2026-04-08T09:41:53.000Z","32","fh2yb7mv","256","0.6","0.5","entropy","7","2","19","256,128","0.16075384852007213","5","200","0.08877844696664361","l2","","","","10","0.002309996901320361","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11053809062583118","3.1389256468760753","5","4","300","0.8","0.004683270211929487","0.8059164877003123","0.6202313561407826","0.6201258889888008","0.6110019646365422","0.7453795379537954","0.744361315876334","0.6691441640055665","0.5946201038225578","0.6481481481481481"
"autumn-sweep-37","finished","-","","","2026-04-08T09:59:30.000Z","30","fh2yb7mv","128","0.6","0.4","entropy","3","2","9","256,128,64","0.15695633329533087","5","50","0.10781891357714855","l2","","","","5","0.008501815202362697","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05474884371823193","4.305005905708123","5","5","300","0.6","0.001490485710197523","0.8059096139925694","0.6202313561407826","0.6200752002615662","0.6113429904247484","0.7453795379537954","0.744306304323908","0.6691349906045408","0.5946201038225578","0.6481481481481481"
"graceful-sweep-28","finished","-","","","2026-04-08T09:54:44.000Z","24","fh2yb7mv","512","1","0.5","entropy","7","2","15","256,128","0.2339147430532452","10","200","0.13743133466461402","l2","","","","5","0.008879475910987235","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6228583230644331","1.5079007059101428","3","10","300","0.6","0.0001056194629414411","0.8058966164361101","0.6204182041820419","0.620024519820188","0.6113429904247484","0.7453795379537954","0.744251292771482","0.6691056553039089","0.5945308816595946","0.6486625514403292"
"rosy-sweep-44","finished","-","","","2026-04-08T10:03:23.000Z","24","fh2yb7mv","128","0.4","0.4","entropy","15","3","3","256,128","0.2640986506883564","15","300","1.7101036205401132","l1","","","","5","0.007512327032745204","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.055070016812448455","3.7811795016363137","5","6","300","1","0.0008607522618550934","0.8058956166240747","0.6201131054831571","0.620024519820188","0.6113429904247484","0.745049504950495","0.744251292771482","0.6690701810404373","0.5939707960433349","0.6486625514403292"
"kind-sweep-60","finished","-","","","2026-04-08T10:12:46.000Z","44","fh2yb7mv","512","0.6","0.5","entropy","5","10","15","256,128","0.23193154014521372","7","50","2.5685646800789175","l1","","","","5","0.008595773553367152","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.307211765831169","1.7844310866039892","10","3","300","0.4","0.0001198257864745071","0.805892742164473","0.6201131054831571","0.620024519820188","0.6110019646365422","0.745049504950495","0.744251292771482","0.6690791407508353","0.5939707960433349","0.6486625514403292"
"sunny-sweep-8","finished","-","","","2026-04-08T09:43:30.000Z","28","fh2yb7mv","512","0.4","0.4","entropy","10","3","12","256,128","0.09355887434222722","3","50","0.18421695677247887","l2","","","","20","0.00728281841768979","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01647554622837367","5.459246384615615","7","3","300","0.4","0.0036492819260150818","0.8058899926813758","0.6204182041820419","0.6199738476626349","0.6114931237721022","0.7453795379537954","0.744196281219056","0.6690958681932484","0.5945308816595946","0.6486625514403292"
"rich-sweep-4","finished","-","","","2026-04-08T09:41:20.000Z","31","fh2yb7mv","256","0.8","0.3","entropy","5","3","8","512,256,128","0.05320077325300883","3","300","0.16019432286249927","l2","","","","10","0.004803610896014595","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05711369858434271","2.8837085042170023","7","9","300","0.4","0.003508108580450349","0.8058892428223494","0.6204182041820419","0.6199738476626349","0.6113429904247484","0.7453795379537954","0.744196281219056","0.6690962220984005","0.5945308816595946","0.6486625514403292"
"rosy-sweep-34","finished","-","","","2026-04-08T09:57:53.000Z","28","fh2yb7mv","256","0.6","0.1","entropy","10","8","11","256,128","0.10080148794615008","3","50","0.16826979262655883","l2","","","","5","0.00904241553446984","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02032682891797464","1.2404932092708936","10","9","300","0.4","0.0005059311559232685","0.8058867432922611","0.6204182041820419","0.6199738476626349","0.6114931237721022","0.7453795379537954","0.744196281219056","0.6690887156367338","0.5945308816595946","0.6486625514403292"
"drawn-sweep-30","finished","-","","","2026-04-08T09:55:43.000Z","26","fh2yb7mv","256","0.6","0.5","entropy","10","3","18","512,256,128","0.04386476735482321","5","200","0.233013535003326","l2","","","","5","0.007400111473316164","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01245979975020311","1.9728601669712056","15","2","300","1","0.00010045975759636076","0.8058856185037213","0.6202656173143138","0.6199738476626349","0.6110019646365422","0.7452145214521452","0.744196281219056","0.6690781653145644","0.5942507068803016","0.6486625514403292"
"good-sweep-69","finished","-","","","2026-04-08T10:19:03.000Z","35","fh2yb7mv","256","0.6","0.1","entropy","15","4","12","256,128","0.250124732258595","3","300","0.28258120061751846","l2","","","","20","0.008216366132088737","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.024268409731634303","4.537975177020913","3","9","200","1","0.007174594145401989","0.8058826190676153","0.6201131054831571","0.6200866225382038","0.6110019646365422","0.745049504950495","0.744251292771482","0.6690788452534139","0.5939707960433349","0.6486625514403292"
"fragrant-sweep-22","finished","-","","","2026-04-08T09:51:24.000Z","27","fh2yb7mv","512","0.6","0.1","entropy","15","2","20","512,256,128","0.1117135602566472","15","50","3.797824083770807","l1","","","","5","0.00627255352416246","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012744985723941027","1.1424767543807175","5","10","100","0.6","0.00464226581890085","0.8058819941850932","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690634309013623","0.5939707960433349","0.6486625514403292"
"true-sweep-24","finished","-","","","2026-04-08T09:52:29.000Z","29","fh2yb7mv","512","0.6","0.3","entropy","5","2","20","256,128","0.0526580555802796","7","300","0.29281750149462193","l2","","","","5","0.008338628225589437","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01574080248481738","7.870934539944024","7","9","100","0.4","0.0022046685224887787","0.8058816192555798","0.6201131054831571","0.6200866225382038","0.6110019646365422","0.745049504950495","0.744251292771482","0.6690805124105504","0.5939707960433349","0.6486625514403292"
"feasible-sweep-20","finished","-","","","2026-04-08T09:50:19.000Z","31","fh2yb7mv","128","0.6","0.5","entropy","5","6","8","256,128,64","0.15524989933656247","3","100","4.358565410777194","l1","","","","5","0.0032922624029109795","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.018193830354854935","4.354365465431577","10","9","300","1","0.00002831935850254878","0.8058803694905358","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690493954972272","0.5939707960433349","0.6486625514403292"
"sweepy-sweep-51","finished","-","","","2026-04-08T10:07:07.000Z","35","fh2yb7mv","128","0.6","0.3","entropy","15","9","18","256,128,64","0.20786309338502548","7","50","4.298090040551657","l1","","","","20","0.006629800075335358","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01619077419106996","1.2363146478073757","3","9","200","0.4","0.005875182283097109","0.8058802445140313","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690484580641749","0.5939707960433349","0.6486625514403292"
"earnest-sweep-14","finished","-","","","2026-04-08T09:47:10.000Z","27","fh2yb7mv","128","0.6","0.5","entropy","10","4","19","256,128","0.05438242263666402","3","100","4.7755005316841475","l1","","","","5","0.008917214812211957","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1653403305274774","1.2028814599647957","7","9","200","1","0.00043228809821947153","0.8058801195375269","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690516149348623","0.5939707960433349","0.6486625514403292"
"summer-sweep-27","finished","-","","","2026-04-08T09:54:16.000Z","26","fh2yb7mv","256","1","0.5","entropy","15","3","15","256,128","0.02848399822661551","7","50","4.678068105248915","l1","","","","10","0.009243010963446305","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.020499131400171313","5.186676250038555","5","3","300","0.6","0.0047345871846771375","0.8058798695845181","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690504721869571","0.5939707960433349","0.6486625514403292"
"vibrant-sweep-47","finished","-","","","2026-04-08T10:04:56.000Z","30","fh2yb7mv","128","1","0.4","entropy","7","5","15","256,128","0.15542377142004596","3","100","0.4959713693944888","l2","","","","20","0.007798042306978284","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04037672442948887","1.8478920106300851","10","2","300","0.4","0.00004568199148134578","0.8058797446080138","0.6201131054831571","0.6201879852881079","0.6110019646365422","0.745049504950495","0.744361315876334","0.6690609691929768","0.5939707960433349","0.6486625514403292"
"stellar-sweep-65","finished","-","","","2026-04-08T10:16:36.000Z","38","fh2yb7mv","512","1","0.4","gini","7","6","18","256,128","0.1563023420751065","3","50","5.142892807166158","l1","","","","5","0.005527254890433743","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04956532818781974","2.17310264492046","3","7","300","1","0.0004038007132459648","0.8058796196315093","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690512796897528","0.5939707960433349","0.6486625514403292"
"quiet-sweep-58","finished","-","","","2026-04-08T10:11:20.000Z","38","fh2yb7mv","512","1","0.2","entropy","3","5","14","128,64","0.2057292238044351","5","50","5.2971591232913084","l1","","","","5","0.0062289287379288655","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04268395948720019","6.896857823526456","3","5","200","0.8","0.0025204286029414692","0.8058796196315092","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.6690485002084303","0.5939707960433349","0.6486625514403292"
"youthful-sweep-57","finished","-","","","2026-04-08T10:10:37.000Z","41","fh2yb7mv","256","0.6","0.1","entropy","7","3","8","256,128","0.03662055317852611","5","50","7.45939408855898","l1","","","","20","0.007496511615985935","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014035556432322231","1.5692137836972022","7","10","300","0.6","0.00021778675898651733","0.8058773700544298","0.6201131054831571","0.6203007518796992","0.6110019646365422","0.745049504950495","0.7444163274287601","0.669048116843866","0.5939707960433349","0.6486625514403292"
