"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"vague-sweep-70","","finished","-","","","2026-04-08T11:51:24.000Z","46","7bo3l8jv","256","0.8","0.4","gini","15","3","4","512,256,128","0.05046107967718401","10","100","0.3959701786823795","l2","","","","10","0.0002462939044641943","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11615209084579638","7.143029026140131","10","8","300","0.4","0.00001437477209227078","0.812230050750459","0.6372832369942196","0.6894514094066917","0.6186844613918017","0.7514851485148515","0.7860600726152492","0.6776686869724785","0.5991847826086957","0.6805555555555556"
"leafy-sweep-69","","finished","-","","","2026-04-08T11:50:58.000Z","22","7bo3l8jv","128","1","0.5","gini","10","8","12","256,128,64","0.02391879421281228","10","300","0.16362117571410534","l1","","","","20","0.0016657741828094918","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05715736302276448","1.0071149362589469","15","10","50","1","0.0008630924602019692","0.8092872290009478","0.6319595083152567","0.727943535450754","0.6130508066457983","0.748019801980198","0.8134008141709759","0.6726009583423648","0.5945578231292517","0.6743827160493827"
"devout-sweep-68","","finished","-","","","2026-04-08T11:50:47.000Z","9","7bo3l8jv","128","0.4","0.5","gini","3","3","3","256,128","0.013146569813702935","3","200","2.568673906777708","l1","","","","10","0.0003079839986498826","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012038737748867469","2.4437625672604297","5","9","300","0.6","0.0049041268933959605","0.808748330313901","0.6355753456761191","0.6325848807396472","0.6142426351194619","0.7433993399339934","0.7398503685774013","0.6723180915710474","0.5837279380111924","0.6975308641975309"
"eager-sweep-67","","finished","-","","","2026-04-08T11:50:13.000Z","29","7bo3l8jv","128","1","0.3","gini","7","4","3","512,256,128","0.027846379866276763","3","200","0.004842453275418927","l2","","","","10","0.0012499981051956471","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683399152494926","3.0463128657275305","10","10","200","0.4","0.00009676358560782576","0.8127810721584341","0.6354644149577805","0.6854960617391996","0.6207059938403222","0.7506600660066006","0.7825393332599846","0.6785106176018851","0.5983643798273512","0.6774691358024691"
"quiet-sweep-66","","finished","-","","","2026-04-08T11:49:53.000Z","15","7bo3l8jv","512","0.8","0.5","gini","7","4","2","512,256,128","0.11940831396863703","7","200","2.14567801429021","l2","","","","5","0.00030442189481144454","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12425092602890468","9.27369171934362","7","9","300","0.4","0.000013735822510089092","0.811024527388851","0.64196365352844","0.6491214369386958","0.6185279777107036","0.7496699669966996","0.7528330949499394","0.6756076238773603","0.5931094635848234","0.6995884773662552"
"rose-sweep-65","","finished","-","","","2026-04-08T11:49:40.000Z","9","7bo3l8jv","128","0.8","0.4","gini","15","6","7","256,128","0.1376059322895796","10","200","1.8538377689692884","l1","","","","5","0.000190655527619158","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1630169850407814","1.4755090678331495","7","10","100","0.6","0.00014102626306052797","0.810532619867465","0.6361931551804969","0.6472834983241095","0.6174216027874564","0.7438943894389439","0.7510727252723072","0.6741776811246138","0.5844099913867356","0.698045267489712"
"wandering-sweep-64","","finished","-","","","2026-04-08T11:48:53.000Z","42","7bo3l8jv","128","0.6","0.5","gini","15","4","7","256,128","0.16699075123898696","15","300","0.11749353313941012","l1","","","","20","0.0010144733782400542","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3876028408390508","2.6722202760974074","10","10","300","0.6","0.0018434958764456044","0.8128368116794042","0.6353790613718412","0.6850600302138825","0.6220435193945127","0.75","0.7820992408405765","0.6784635560533094","0.5970149253731343","0.6790123456790124"
"morning-sweep-63","","finished","-","","","2026-04-08T11:47:01.000Z","107","7bo3l8jv","128","0.8","0.3","gini","5","10","11","256,128","0.17662803709547734","10","300","0.7556168494727463","l2","","","","10","0.0008096839939870289","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015862007812324268","3.490495798884687","15","10","300","0.4","0.00072532463861536","0.8126452226981328","0.6326331216414265","0.7281506518590053","0.6190246257846451","0.7518151815181519","0.81417097590494","0.6783624139963591","0.6023255813953489","0.6661522633744856"
"exalted-sweep-62","","finished","-","","","2026-04-08T11:46:26.000Z","30","7bo3l8jv","512","0.6","0.5","entropy","7","7","3","256,128","0.01799096675562871","10","200","3.2937663692000427","l2","","","","20","0.00010138046899518994","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.024721656561793752","1.0989761882209683","10","10","200","0.4","0.0001889522705554318","0.8127810721584341","0.6354644149577805","0.6854960617391996","0.6207059938403222","0.7506600660066006","0.7825393332599846","0.6785106176018851","0.5983643798273512","0.6774691358024691"
"deft-sweep-61","","finished","-","","","2026-04-08T11:46:04.000Z","18","7bo3l8jv","128","0.6","0.4","gini","15","10","2","256,128,64","0.23522004028842472","5","200","6.288563811237316","l1","","","","20","0.00222682431323337","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.021028046783669048","1.3323566102081754","7","5","300","0.4","0.000695514067859234","0.8108311887365176","0.64","0.6505494505494506","0.6193820224719101","0.749009900990099","0.7550885685994059","0.6752383111323029","0.5927224901359053","0.6954732510288066"
