"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"misty-sweep-70","","finished","-","","","2026-04-27T07:23:14.000Z","11","52o57pcr","128","0.8","0.3","entropy","3","10","5","256,128,64","0.032992071344567886","15","100","0.011189132635199918","l1","","","","5","0.0016059312663661211","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0495558568388809","2.507383272533165","5","3","100","0.8","0.00001201502335186667","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"apricot-sweep-69","","finished","-","","","2026-04-27T07:22:58.000Z","11","52o57pcr","512","1","0.5","entropy","3","7","4","256,128,64","0.0445037034453522","15","200","1.334569372322355","l1","","","","5","0.0012387763979541115","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05162605298541371","4.590487111917168","7","10","50","0.8","0.00001816035494849304","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"expert-sweep-68","","finished","-","","","2026-04-27T07:22:41.000Z","12","52o57pcr","256","0.4","0.1","gini","3","5","6","256,128","0.02113067015430277","15","300","0.08107791935667144","l1","","","","5","0.007388952581443491","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04842719176669782","5.072439332133022","3","9","50","0.8","0.000014235579175369482","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"serene-sweep-67","","finished","-","","","2026-04-27T07:22:30.000Z","6","52o57pcr","128","1","0.3","gini","3","3","3","256,128,64","0.19101747148196035","10","50","0.4202823617570763","l2","","","","5","0.007811826693580751","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015450161404253392","4.617978605217405","7","7","300","1","0.00006695083278131887","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"graceful-sweep-66","","finished","-","","","2026-04-27T07:22:18.000Z","11","52o57pcr","512","1","0.1","entropy","3","7","3","512,256,128","0.11141068450946928","15","50","0.04097228945211588","l2","","","","5","0.00010275992918367049","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06534716831557001","1.360783785284234","5","8","100","0.8","0.0013656276839040526","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"swept-sweep-65","","finished","-","","","2026-04-27T07:22:06.000Z","6","52o57pcr","128","0.8","0.1","entropy","3","5","9","256,128","0.02386458885950453","5","50","0.001436877867546772","l2","","","","5","0.0033225682815666542","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12097637782282968","1.9506152963090584","3","6","100","1","0.00003457675063014676","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"colorful-sweep-64","","finished","-","","","2026-04-27T07:21:55.000Z","10","52o57pcr","256","1","0.2","entropy","3","2","12","128,64","0.12905192056048267","7","300","0.0029924377937970217","l2","","","","10","0.004498444875157874","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04021656844583586","2.0981776188639225","3","9","100","1","0.000020912124099521735","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"devoted-sweep-63","","finished","-","","","2026-04-27T07:21:38.000Z","11","52o57pcr","128","0.8","0.5","entropy","3","2","6","256,128,64","0.16218387908541615","7","100","0.0010431787252551663","l2","","","","5","0.00866654944681691","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1662538409316738","2.0730879501439032","5","10","100","1","0.00004946185014197765","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
"worthy-sweep-62","","finished","-","","","2026-04-27T07:21:21.000Z","12","52o57pcr","128","0.8","0.1","entropy","7","6","4","128,64","0.02716602928543027","15","200","0.5630688088363403","l2","","","","5","0.008306696238120673","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0458482428459556","8.48530376816284","3","8","300","0.8","0.0002576519965780325","0.7693375520402165","0.6057977630677928","0.6369465188202459","0.5938337801608579","0.7150165016501651","0.7352293981736164","0.6184656903615663","0.5445219532211736","0.6826131687242798"
"feasible-sweep-61","","finished","-","","","2026-04-27T07:21:05.000Z","11","52o57pcr","128","0.6","0.3","gini","3","3","2","128,64","0.01859627200256019","15","200","0.616125919199066","l2","","","","5","0.001523644411518197","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015678700837813885","4.893332976718406","15","10","100","0.8","0.000033978254618896306","0.7737187283790647","0.617678381256656","0.6066262914143213","0.5939291021014647","0.7037953795379538","0.6962812190560017","0.5880737150819333","0.5270810614322065","0.7458847736625515"
