"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"dandy-sweep-64","","finished","-","","","2026-04-27T10:22:21.000Z","234","blzkapma","256","1","0.3","entropy","10","5","15","512,256,128","0.1099865584188292","10","200","2.0388366861275578","l2","","","","10","0.007757581609814328","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04518975546153858","1.6689469654054887","7","8","200","0.4","0.00008207350555814716","0.8022564882802034","0.6329171396140749","0.6508633747349288","0.6182638105975198","0.7331683168316832","0.7463967433160964","0.6618837105169468","0.5664364079642422","0.7170781893004116"
"easy-sweep-67","","finished","-","","","2026-04-27T10:32:00.000Z","94","blzkapma","512","1","0.1","entropy","5","8","12","256,128","0.03718468255607182","7","200","0.013140021721296054","l2","","","","5","0.007967200173289245","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1638665805513191","1.374212586334849","10","9","200","0.4","0.000012176788282044982","0.798861251584702","0.6316458377462402","0.6393872774980498","0.6111577181208053","0.7130363036303631","0.7202662559137419","0.6535749781114711","0.5369103348937703","0.7669753086419753"
"ethereal-sweep-70","","finished","-","","","2026-04-27T10:37:17.000Z","114","blzkapma","512","1","0.4","entropy","10","7","14","256,128","0.19941844360695576","5","200","3.128535185053509","l2","","","","5","0.005787423454854629","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11840160692915656","2.2672311911764025","3","2","200","0.4","0.00004908861818525061","0.7997830157930309","0.6301495972382049","0.654227136604469","0.6141876430205949","0.7348184818481848","0.7522829794256793","0.6546223615157705","0.5701790920449813","0.7042181069958847"
"robust-sweep-31","","finished","-","","","2026-04-27T08:59:11.000Z","58","blzkapma","512","0.8","0.3","entropy","10","3","5","128,64","0.08296071519586011","10","100","1.7459474615260668","l1","","","","20","0.006998674645469307","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.314317811568692","1.9459422426874504","7","6","300","0.6","0.000015797205198329138","0.8002957319024023","0.6298540965207632","0.6464509315833145","0.6189304094875812","0.7278877887788779","0.7421608537792936","0.6588547419950899","0.5587415372361609","0.7217078189300411"
"autumn-sweep-63","","finished","-","","","2026-04-27T10:20:41.000Z","99","blzkapma","512","0.4","0.3","entropy","10","2","10","256,128,64","0.1559352452935116","7","300","0.2721371334748764","l1","","","","5","0.008602497787105893","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.185040849338195","1.1040851137851009","15","4","200","0.4","0.0001012147580577015","0.8014540141453406","0.6295612009237875","0.6475187737090655","0.6093928980526919","0.7353135313531353","0.749532401804379","0.6580305756261002","0.5712489522212909","0.7011316872427984"
"sparkling-sweep-66","","finished","-","","","2026-04-27T10:28:19.000Z","216","blzkapma","512","1","0.5","entropy","10","2","17","512,256,128","0.020538279657111844","3","50","0.15043969352166528","l2","","","","5","0.00558011586387592","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5784701744407834","1.0823880255110414","10","7","200","0.4","0.00004287018070066789","0.7997125915327917","0.6289959477712742","0.6490741434890172","0.6171301446051168","0.7280528052805281","0.7424909230938497","0.6552533957049959","0.5592473979183347","0.7186213991769548"
"floral-sweep-41","","finished","-","","","2026-04-27T09:17:39.000Z","96","blzkapma","512","0.8","0.4","entropy","10","4","6","256,128,64","0.010031184426871734","3","300","7.51515056806045","l2","","","","20","0.005571149455102842","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.175996969586958","1.1092422311413386","7","6","200","0.4","0.002408094482871424","0.7999939136442349","0.6289479663712793","0.6504065040650406","0.6176668914362778","0.7305280528052805","0.7468918472879305","0.6572683296269148","0.5632885632885632","0.7119341563786008"
"northern-sweep-62","","finished","-","","","2026-04-27T10:19:26.000Z","73","blzkapma","512","0.8","0.3","entropy","15","2","4","128,64","0.27977667450736055","10","50","0.24676919361735092","l1","","","","10","0.002608495581141485","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03704292206158199","1.0424597758403449","10","10","300","0.8","0.000012263319154059112","0.8005093792367035","0.6288939051918736","0.6432810035303839","0.6139013452914798","0.7287128712871287","0.7387501375288811","0.6563566565416804","0.5603378921962993","0.7165637860082305"
"dainty-sweep-27","","finished","-","","","2026-04-27T08:49:30.000Z","83","blzkapma","256","0.8","0.1","gini","5","3","12","256,128","0.018232512892322285","7","50","0.30823235790150977","l1","","","","20","0.008284166868877292","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56179073386375","2.9929758113439378","10","10","200","0.8","0.0001589250895539078","0.8013148528076721","0.6287973366625051","0.6331923156945697","0.6119433613790273","0.7056105610561056","0.7090438992188359","0.6576350170636506","0.5279524807826694","0.7772633744855967"
"avid-sweep-56","","finished","-","","","2026-04-27T10:07:40.000Z","105","blzkapma","512","1","0.3","entropy","5","5","18","256,128","0.0635632316954143","10","200","0.6778471418161731","l2","","","","20","0.00959282803783733","mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15743234524158184","1.335342946372163","3","10","300","0.6","0.00004239685491467853","0.7979630454474558","0.6286338797814207","0.6465473145780051","0.6160849772382397","0.7196369636963696","0.7339091209153922","0.6543938853377707","0.5465602432535158","0.7397119341563786"
