"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"rich-sweep-27","","finished","-","","","2026-04-24T09:05:11.000Z","31","qgnl1qex","256","0.8","0.5","gini","10","4","8","256,128,64","0.0668737184612244","7","300","0.057039186460494586","l1","","","","10","0.0017835786880520208","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.579187817375305","8.85484977789426","10","10","200","1","0.00008683101260761785","0.8044925678972352","0.6307073574639224","0.6696062992125984","0.608432331702772","0.7424092409240924","0.7691715260204643","0.6635561040065227","0.5838808585194919","0.6856995884773662"
"fallen-sweep-15","","finished","-","","","2026-04-24T09:00:20.000Z","13","qgnl1qex","128","0.8","0.4","entropy","15","2","6","512,256,128","0.12866920130185913","7","200","0.02949179266755675","l1","","","","10","0.0008485717478055153","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2555570180616666","3.820815686940483","7","8","200","0.8","0.00006326646108769424","0.8030187199806436","0.6306390977443609","0.6369108105995466","0.6051044083526682","0.7405940594059406","0.744471338981186","0.6600695551129355","0.5804498269896193","0.6903292181069959"
"scarlet-sweep-68","","finished","-","","","2026-04-24T09:29:21.000Z","18","qgnl1qex","256","0.6","0.3","gini","5","4","14","128,64","0.1561901461289691","10","300","0.3230576211749141","l2","","","","10","0.0010776441986412443","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.586401882348772","3.2662949051833","10","10","100","0.8","0.00003222081802941685","0.8044976919339164","0.6299881936245573","0.671913118753443","0.6105802843160103","0.7414191419141914","0.7706568379359665","0.6630737351526395","0.5822784810126582","0.6862139917695473"
"jumping-sweep-13","","finished","-","","","2026-04-24T08:59:23.000Z","20","qgnl1qex","256","0.8","0.5","entropy","10","2","10","128,64","0.0840134646300934","5","50","0.1271389296077691","l2","","","","20","0.004410656463701893","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3288018316643795","4.156929101337435","10","10","100","0.8","0.000036022035252125514","0.8044976919339164","0.6299881936245573","0.671913118753443","0.6105802843160103","0.7414191419141914","0.7706568379359665","0.6630737351526395","0.5822784810126582","0.6862139917695473"
"smooth-sweep-60","","finished","-","","","2026-04-24T09:24:06.000Z","20","qgnl1qex","128","0.8","0.5","gini","7","3","13","512,256,128","0.1316205144777073","3","200","0.0010193539474394717","l2","","","","20","0.0003430950427950444","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.723617268013895","7.971256960462571","10","10","100","1","0.000012963341269673583","0.8044976919339164","0.6299881936245573","0.671913118753443","0.6105802843160103","0.7414191419141914","0.7706568379359665","0.6630737351526395","0.5822784810126582","0.6862139917695473"
"tough-sweep-17","","finished","-","","","2026-04-24T09:00:51.000Z","12","qgnl1qex","256","0.8","0.2","gini","3","2","19","128,64","0.1649491472067907","3","200","0.02469178503250982","l1","","","","20","0.00349300162676906","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2511533133971789","1.637692590442453","7","9","200","0.8","0.00003317088610347361","0.8025801774266438","0.6294392523364486","0.6373763340344317","0.6069858894286375","0.7382838283828382","0.7439212234569259","0.6599659859939928","0.5766267123287672","0.6929012345679012"
"olive-sweep-55","","finished","-","","","2026-04-24T09:22:13.000Z","20","qgnl1qex","256","0.8","0.3","entropy","15","2","4","128,64","0.1100262918006552","7","100","0.026474580139955736","l2","","","","10","0.007341018466776545","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3210041854879604","5.597743435980005","7","9","200","1","0.0001649577940680216","0.8025801774266438","0.6294392523364486","0.6373763340344317","0.6069858894286375","0.7382838283828382","0.7439212234569259","0.6599659859939928","0.5766267123287672","0.6929012345679012"
"vocal-sweep-59","","finished","-","","","2026-04-24T09:23:48.000Z","14","qgnl1qex","128","1","0.4","gini","10","4","16","512,256,128","0.23620576993056816","3","100","0.012074094776984028","l2","","","","20","0.0005493639239338465","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8574844170660185","1.948757580590255","7","9","100","1","0.0003439705745670971","0.802660537318984","0.6292660121552127","0.6376157497471014","0.6095764272559853","0.7382838283828382","0.7438112003520739","0.659905536852909","0.5766923736075407","0.6923868312757202"
"golden-sweep-16","","finished","-","","","2026-04-24T09:00:37.000Z","9","qgnl1qex","256","0.8","0.4","entropy","15","2","17","128,64","0.23911491557783143","7","300","0.3894852415787922","l1","","","","20","0.00021807334530889617","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1958574848759602","1.8248914274243144","7","4","100","0.8","0.0000702947383943696","0.8027496455666334","0.6289752650176679","0.6398933249666641","0.6055813953488373","0.7400990099009901","0.7474419628121906","0.6610349640358935","0.5801825293350718","0.6867283950617284"
"fluent-sweep-35","","finished","-","","","2026-04-24T09:10:49.000Z","14","qgnl1qex","256","0.6","0.1","entropy","3","4","19","256,128,64","0.1694149156418799","5","200","2.347528282334033","l2","","","","10","0.0001804933005041796","rf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.430245927610394","3.988627072683492","7","5","100","1","0.00026575111433924597","0.8023733413118335","0.6288925310231795","0.63996273870517","0.6082141209044762","0.7384488448844885","0.7448564198481681","0.6603557284790673","0.5771379458530297","0.690843621399177"
